"",".id","Date","Category","Question","Participant","University","Vote","Confidence","Comment"
"82","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Robert Shimer","Chicago","Agree","4","See Greenstone, Hornbeck, and Moretti (JPE 2010) for some evidence of large positive spillovers"
"83","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Richard Thaler","Chicago","Uncertain","1","I don't see how anyone can have an opinion about this without data.  A $1 tax break is worth it.  $100B not.  In between?"
"84","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Christopher Udry","Yale","Did Not Answer","",""
"85","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Daron Acemoglu","MIT","Uncertain","5","Such competition helps for local political economy reasons but may shift too much otherwise-public resources towards footloose companies."
"86","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Alberto Alesina","Harvard","Did Not Answer","",""
"87","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Joseph Altonji","Yale","Disagree","5",""
"88","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Alan Auerbach","Berkeley","Disagree","3",""
"89","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","David Autor","MIT","Uncertain","5","I would agree if I were certain that governors had their states' long term interests in mind when cutting tax deals. Not sure that's true."
"90","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Katherine Baicker","Harvard","Disagree","3",""
"91","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Abhijit Banerjee","MIT","Disagree","6",""
"92","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Marianne Bertrand","Chicago","Disagree","4",""
"93","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Markus Brunnermeier","Princeton","Disagree","3",""
"94","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Raj Chetty","Harvard","Disagree","10",""
"95","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Judith Chevalier","Yale","Did Not Answer","",""
"96","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","David Cutler","Harvard","Strongly Disagree","8",""
"97","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Angus Deaton","Princeton","Agree","1",""
"98","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Darrell Duffie","Stanford","Uncertain","3","On its face, this sort of competition is useful. I can imagine that experts on this issue may suggest some unintended related distortions."
"99","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Aaron Edlin","Berkeley","Disagree","7",""
"100","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Barry Eichengreen","Berkeley","Disagree","8",""
"101","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Liran Einav","Stanford","Uncertain","5",""
"102","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Ray Fair","Yale","Disagree","5",""
"103","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Amy Finkelstein","MIT","Did Not Answer","",""
"104","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Pinelopi Goldberg","Yale","Disagree","5",""
"105","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Austan Goolsbee","Chicago","Uncertain","1",""
"106","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Michael Greenstone","Chicago","Did Not Answer","",""
"107","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Robert Hall","Stanford","Did Not Answer","",""
"108","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Oliver Hart","Harvard","Disagree","7","There is no social benefit to the US as a whole unless the firms would have located abroad. There is a social loss from lower tax receipts."
"109","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Bengt Holmström","MIT","Agree","4",""
"110","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Caroline Hoxby","Stanford","Did Not Answer","",""
"111","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Hilary Hoynes","Berkeley","Disagree","8",""
"112","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Kenneth Judd","Stanford","Disagree","7",""
"113","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Steven Kaplan","Chicago","Uncertain","5",""
"114","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Anil Kashyap","Chicago","Strongly Disagree","5","This is almost entirely zero sum, with the companies gaining and the taxpayers losing."
"115","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Pete Klenow","Stanford","Disagree","5","It could help if tax rates tend to be too high for political economy reasons.-see background information here"
"116","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Jonathan Levin","Stanford","Uncertain","4",""
"117","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Eric Maskin","Harvard","Uncertain","6",""
"118","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","William Nordhaus","Yale","Disagree","6","Generally a waste of revenues in negative-sum game."
"119","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Emmanuel Saez","Berkeley","Strongly Disagree","8",""
"120","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Larry Samuelson","Yale","Disagree","8","Such competitive does enhance allocative efficiency, but its primary effect is to transfer surplus from other taxpayers to firms."
"121","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","José Scheinkman","Princeton","Uncertain","7","Would agree if cities compete with uniform lower taxes for all firms."
"122","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Richard Schmalensee","MIT","Strongly Disagree","7","Unless the firm would otherwise locate abroad, the only net effect is less tax revenue.  The EU bans state aid for this reason."
"123","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Carl Shapiro","Berkeley","Did Not Answer","",""
"124","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Robert Shimer","Chicago","Uncertain","5","There is a clear zero-sum aspect to tax competition. But nothing else can restrain the leviathan. The balance is unclear."
"125","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Richard Thaler","Chicago","Disagree","1","Again data would be nice.  Competition is good but unraveling is bad.  Which is this?  Transparency would help."
"126","Question B:","Tuesday, March 24, 2015","Local Tax Incentives","The US as a whole benefits when cities or states compete with each other by giving tax incentives to firms to locate operations in their jurisdictions.","Christopher Udry","Yale","Did Not Answer","",""
"127","Question A:","Tuesday, March 10, 2015","Vaccines","","Daron Acemoglu","MIT","Strongly Agree","8",""
"128","Question A:","Tuesday, March 10, 2015","Vaccines","","Alberto Alesina","Harvard","Did Not Answer","",""
"129","Question A:","Tuesday, March 10, 2015","Vaccines","","Joseph Altonji","Yale","Strongly Agree","10",""
"130","Question A:","Tuesday, March 10, 2015","Vaccines","","Alan Auerbach","Berkeley","Strongly Agree","10",""
"131","Question A:","Tuesday, March 10, 2015","Vaccines","","David Autor","MIT","Strongly Agree","10",""
"132","Question A:","Tuesday, March 10, 2015","Vaccines","","Katherine Baicker","Harvard","Strongly Agree","5",""
"133","Question A:","Tuesday, March 10, 2015","Vaccines","","Abhijit Banerjee","MIT","Strongly Agree","8",""
"134","Question A:","Tuesday, March 10, 2015","Vaccines","","Marianne Bertrand","Chicago","Strongly Agree","8",""
"135","Question A:","Tuesday, March 10, 2015","Vaccines","","Markus Brunnermeier","Princeton","Strongly Agree","9",""
"136","Question A:","Tuesday, March 10, 2015","Vaccines","","Raj Chetty","Harvard","Did Not Answer","",""
"137","Question A:","Tuesday, March 10, 2015","Vaccines","","Judith Chevalier","Yale","Strongly Agree","8",""
"138","Question A:","Tuesday, March 10, 2015","Vaccines","","David Cutler","Harvard","Strongly Agree","10",""
"139","Question A:","Tuesday, March 10, 2015","Vaccines","","Angus Deaton","Princeton","Strongly Agree","10","The vaccine is not infallible, and some people cannot be covered."
"140","Question A:","Tuesday, March 10, 2015","Vaccines","","Darrell Duffie","Stanford","Strongly Agree","10","The word "" contagion"" and the adverse consequence of disease directly imply the  result, logically."
"141","Question A:","Tuesday, March 10, 2015","Vaccines","","Aaron Edlin","Berkeley","Strongly Agree","10","Even those vaccinated can get the disease so there is an external cost both to the vaccinated and the non vaccinated."
"142","Question A:","Tuesday, March 10, 2015","Vaccines","","Barry Eichengreen","Berkeley","Agree","5",""
"143","Question A:","Tuesday, March 10, 2015","Vaccines","","Liran Einav","Stanford","Strongly Agree","9",""
"144","Question A:","Tuesday, March 10, 2015","Vaccines","","Ray Fair","Yale","Strongly Agree","10",""
"145","Question A:","Tuesday, March 10, 2015","Vaccines","","Amy Finkelstein","MIT","Strongly Agree","10",""
"146","Question A:","Tuesday, March 10, 2015","Vaccines","","Pinelopi Goldberg","Yale","Strongly Agree","8",""
"147","Question A:","Tuesday, March 10, 2015","Vaccines","","Austan Goolsbee","Chicago","Strongly Agree","10",""
"148","Question A:","Tuesday, March 10, 2015","Vaccines","","Michael Greenstone","Chicago","Strongly Agree","7",""
"149","Question A:","Tuesday, March 10, 2015","Vaccines","","Robert Hall","Stanford","Did Not Answer","",""
"150","Question A:","Tuesday, March 10, 2015","Vaccines","","Oliver Hart","Harvard","Strongly Agree","10","The science seems absolutely clear. If you are not vaccincated others are more likely to catch the disease ( as well as you)."
"151","Question A:","Tuesday, March 10, 2015","Vaccines","","Bengt Holmström","MIT","Strongly Agree","8",""
